plate_barcode,platemap_file
CARD-CelIns-CX7_251125110001,Target_Selective_Library_Screen_Plate_1_with_pathways
CARD-CelIns-CX7_251023210001,Target_Selective_Library_Screen_Plate_1_with_pathways
CARD-CelIns-CX7_251126130001,Target_Selective_Library_Screen_Plate_1_with_pathways
CARD-CelIns-CX7_251124150001,Target_Selective_Library_Screen_Plate_1_with_pathways
CARD-CelIns-CX7_251201190001,Target_Selective_Library_Screen_Plate_2_with_pathways
CARD-CelIns-CX7_251201110001,Target_Selective_Library_Screen_Plate_2_with_pathways
CARD-CelIns-CX7_251130110002,Target_Selective_Library_Screen_Plate_2_with_pathways
CARD-CelIns-CX7_251202100001,Target_Selective_Library_Screen_Plate_2_with_pathways
CARD-CelIns-CX7_251205100001,Target_Selective_Library_Screen_Plate_3_with_pathways
CARD-CelIns-CX7_251203170001,Target_Selective_Library_Screen_Plate_3_with_pathways
CARD-CelIns-CX7_251208160001,Target_Selective_Library_Screen_Plate_3_with_pathways
CARD-CelIns-CX7_251210180001,Target_Selective_Library_Screen_Plate_3_with_pathways
CARD-CelIns-CX7_251212180001,Target_Selective_Library_Screen_Plate_4_with_pathways
CARD-CelIns-CX7_251211180001,Target_Selective_Library_Screen_Plate_4_with_pathways
CARD-CelIns-CX7_251212100001,Target_Selective_Library_Screen_Plate_4_with_pathways
CARD-CelIns-CX7_251213150001,Target_Selective_Library_Screen_Plate_4_with_pathways
